iter	Passed	Remaining
0	187	93571
1	209	52103
2	230	38267
3	255	31665
4	276	27345
5	297	24531
6	320	22539
7	340	20914
8	362	19758
9	381	18698
10	402	17889
11	423	17227
12	444	16655
13	465	16142
14	483	15647
15	502	15201
16	524	14912
17	545	14594
18	565	14311
19	588	14132
20	608	13881
21	627	13639
22	648	13449
23	667	13242
24	688	13086
25	710	12959
26	731	12821
27	752	12679
28	772	12539
29	793	12435
30	814	12328
31	834	12208
32	855	12106
33	875	12003
34	896	11908
35	915	11796
36	934	11693
37	954	11601
38	977	11559
39	999	11489
40	1018	11397
41	1038	11322
42	1059	11263
43	1081	11204
44	1100	11129
45	1120	11056
46	1141	11006
47	1160	10931
48	1181	10872
49	1201	10814
50	1223	10772
51	1246	10738
52	1267	10690
53	1287	10635
54	1311	10615
55	1331	10558
56	1351	10502
57	1371	10454
58	1393	10415
59	1412	10359
60	1432	10310
61	1455	10279
62	1475	10233
63	1495	10186
64	1515	10142
65	1536	10105
66	1557	10065
67	1576	10015
68	1596	9971
69	1616	9929
70	1636	9886
71	1656	9846
72	1676	9804
73	1695	9761
74	1718	9737
75	1737	9692
76	1756	9648
77	1775	9608
78	1794	9564
79	1817	9540
80	1836	9501
81	1856	9461
82	1875	9423
83	1894	9381
84	1916	9357
85	1935	9317
86	1955	9281
87	1974	9243
88	1992	9203
89	2011	9163
90	2033	9137
91	2051	9099
92	2071	9063
93	2092	9038
94	2111	9002
95	2130	8965
96	2149	8931
97	2168	8895
98	2188	8862
99	2209	8836
100	2229	8806
101	2248	8773
102	2267	8738
103	2285	8703
104	2305	8671
105	2323	8636
106	2343	8608
107	2359	8562
108	2374	8516
109	2388	8469
110	2403	8423
111	2419	8381
112	2434	8339
113	2452	8305
114	2467	8260
115	2482	8218
116	2498	8178
117	2514	8138
118	2529	8098
119	2545	8060
120	2561	8021
121	2576	7983
122	2592	7944
123	2606	7903
124	2620	7861
125	2637	7827
126	2651	7788
127	2667	7751
128	2682	7714
129	2697	7678
130	2712	7640
131	2727	7604
132	2743	7569
133	2759	7537
134	2775	7503
135	2790	7469
136	2807	7438
137	2822	7402
138	2836	7367
139	2852	7334
140	2868	7302
141	2883	7269
142	2897	7233
143	2913	7203
144	2929	7172
145	2945	7141
146	2960	7110
147	2976	7079
148	2992	7048
149	3006	7016
150	3022	6986
151	3038	6956
