title,text,salary,experience,schedule,url
Старший Python-разработчик,"Старший Python-разработчик. Группа компаний Фордевинд – быстрорастущая финансовая компания, занимающая лидирующие позиции на рынке краткосрочных займов малому и среднему бизнесу. Центр Разработки Фордевинд специализируется на создании программного обеспечения для автоматизации аналитических, финансовых и аудиторских задач. Мы разрабатываем высокотехнологичные решения, которые помогают бизнесу оптимизировать процессы, снижать риски и принимать обоснованные решения на основе данных. Для усиления команды мы ищем опытного Python-разработчика. Основные обязанности Разработка новых и оптимизация существующих программных модулей для автоматизации текущих процессов; Решение задач по сбору и хранению данных; Тестирование и отладка разработанного кода, ведение документации; Помощь в разработке backend-а микросервисных web-приложений; Участие в принятии технических решений и активное обсуждение результатов. Общие требования Опыт коммерческой разработки от 5 лет; Умение работать с системой контроля версий Git; Хорошее владение Python: умение писать чистый читаемый поддерживаемый код; Опыт работы с инструментами сбора и обработки данных: selenium, beautifulsoup, numpy, pandas, matplotlib; Будет плюсом опыт работы с нереляционными базами данных, а также с celery, rabbitmq, docker/docker compose. Условия Возможность работы в офисе или полностью удаленно; Отсутствие внутренней бюрократии; Конкурентная оплата труда, прозрачная бонусная система; Возможность профессионального и карьерного роста; Участие в интересных проектах для решения прикладных бизнес задач.",350000.0,Более 6 лет,Удаленная работа,https://hh.ru/vacancy/131526946
Программист-разработчик,"Программист-разработчик. В Департамент инжиниринга российской компании НПК «Атроник» требуется программист- разработчик. Основные обязанности: Разработка нового, сопровождение и модернизация существующего программного обеспечения Разрабатывать алгоритмы решения поставленных задач в соответствии с требованиями Составление документации для проведения функционального тестирования. Участие в проведении опытных эксплуатаций программных продуктов. Консультирование клиентов. Проектирование и разработка новых компонент автоматизированной информационной системы Работа в текущем проекте, также принимать участие в разработке нового) Разрабатывает инструкции по работе с программами, оформляет необходимую техническую документацию. Требование к соискателю: • Знание C++ и ООП; • Знание реляционных СУБД, SQL, PostgreSQL; • Навыки тестирования кода; • Знание базовых алгоритмов и структур данных; • Техническое образование; • Знание английского для чтения документации; • Понимание работы с сетью (REST API, UDP/TCP, HTTPS). Будет преимуществом: • Навык работы с системами контроля версий (git); • Опыт разработки на одноплатных компьютерах; • Опыт использования фреймворка Qt; • Опыт разработки под Linux; • Знание Python. Условия: Заработная плата по результатам собеседования. Возможность профессионального и карьерного роста. ДМС после трехмесячного испытательного срока. Оформление в соответствии с ТК РФ. График работы: 5 дней в неделю, полный рабочий день с возможностью скользящего начала/окончания дня.",110000.0,Нет опыта,Полный день,https://hh.ru/vacancy/131691586
Python-разработчик/ML-инженер,"Python-разработчик/ML-инженер. ООО «Вычислительные решения» — российская компания, разрабатывающая высокотехнологичные аппаратно-программные и программные решения с 2014 года. В штате компании высококвалифицированные специалисты с большим опытом практической работы в области информационных технологий и информационной безопасности. На данный момент мы в поисках коллеги - Python-разработчика/ ML-инженера. Чем предстоит заниматься: разработка и поддержка ML-пайплайнов для обработки текстовых, графических и речевых данных; участие в исследовательских задачах в области AI/ML: от прототипирования до внедрения решений; контейнеризация приложений с помощью Docker: написание Dockerfile, сборка образов, запуск и отладка контейнеров; взаимодействие с сервисами через REST API; разработка и тестирование кода на Python в рамках ML- и ETL-процессов; настройка и самостоятельное разворачивание рабочего окружения под задачи разработки и тестирования; интеграция и настройка современных ML-моделей (включая LLM и NLP-решения); написание тестов (unit, integration) и ведение технической документации. Что мы ожидаем от кандидата: наличие желания участвовать в решении исследовательских задач в области AI/ML; хорошее знание языка Python (знание базовых алгоритмов и структур данных языка); знание алгоритмов машинного обучения, принципов функционирования нейросетей, их современных архитектур; опыт разработки приложений AI/ML на Python для текстовых/графических/речевых данных; знакомство с современными фреймворками для обработки данных с использованием AI (Pytorch, Tensorflow, LangChain, Transformers и т.п.); навыки контейнеризации приложений использованием Docker; опыт работы с системой контроля версий git; навыки тестирования разработанного решения; готовность документировать разработанное решение. Будет плюсом: будет плюсом опыт разработки RAG-систем, опыт продуктового развертывания систем на базе AI; будет плюсом опыт создания своих моделей для генеративного AI, тонкой настройки существующих. Что мы готовы предложить: график работы 5/2 с 9:00 до 18:00 в комфортабельном офисе в 10 мин. от станции м. Южная ; конкурентоспособный уровень дохода (исходя из компетенций кандидата); оформление по ТК РФ с первого дня; ДМС после испытательного срока; предоставляем корпоративное оборудование; возможность обучения и повышения квалификации; рост и развитие внутри компании. Командная работа занимает центральное место в нашей культуре. Мы верим, что успех достигается совместными усилиями, поэтому поддерживаем сплоченность команды и доверие между сотрудниками.",300000.0,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/131621248
Python разработчик (Software Engineer),"Python разработчик (Software Engineer). Мы – ИТ-компания, разрабатывающая высоконагруженные корпоративные системы для российских холдингов, госкорпораций, промышленных и финансовых организаций. Наша главная ценность – команда: инициативные инженеры, которые ценят результат, качество, масштаб и развитие. Сейчас мы ищем Python-разработчика с широким техническим кругозором в команду интеграционных сервисов. Проект на стыке данных, архитектуры и современных технологий. Чем предстоит заниматься: Разрабатывать и улучшать микросервисы ( FastAPI, SQLAlchemy, DDD , CDC ); Автоматизировать потоки данных и процессы через Apache Airflow ; Работать с большими данными и множеством источников (REST, SOAP, gRPC, MQ, PostgreSQL, MongoDB и др.); Оптимизировать и рефакторить код, устранять узкие места; Участвовать в релизах, деплоях, решении инцидентов; Поддерживать и развивать CI/CD (Docker, Gitlab CI); Исследовать и внедрять новые технологии и подходы. Основные требования к кандидату: Уверенное владение Python 3.11+ ; Опыт работы с FastAPI, SQLAlchemy, Docker, Git, Linux ; Понимание архитектурных паттернов: CQRS, Saga, Event Sourcing, CDC ; Опыт интеграции с системами через Kafka, REST, gRPC ; Опыт использования Apache Airflow для оркестрации процессов; Знание принципов DDD (Domain-Driven Design); Английский на уровне чтения технической документации. Будет плюсом Опыт с OpenSearch, S3 ; Понимание DevOps-практик (CI/CD, мониторинг, телеметрия, логирование); Техническое образование или обучение в профильном вузе (начиная с 3 курса). Мы предлагаем: Оформление по ТК, полностью белая заработная плата; Премии по результатам проектов и ежемесячные бонусы; ДМС (включая стоматологию); Компенсация курсов, обучения, спорта, больничного; Участие в митапах, хакатонах, конференциях; Финансовые меры поддержки в связи с важными событиями жизни; Работа в аккредитованной ИТ-компании; Современная техника и инструменты для работы; Современный офис на севере Москвы в пределах ТТК и 10 минутах от метро. Почему стоит попробовать: Решаем масштабные задачи с нагрузкой и критичностью потери данных (20k RPS, 1TB+ метаданных); Используем современный стек и архитектуру; Нет скучного легаси — только развитие, улучшение и рост; Возможность развить инженерные навыки и стать частью сильной команды.",400000.0,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/130605319
Python-разработчик,"Python-разработчик. Привет! Мы, ITRestoran, являемся официальным мастер-дистрибьютером IIKO и других топовых решений на рынке автоматизации HoReCa. Наша идейная и профессиональная команда запустила сервис мультизаказов для фудмоллов по всей стране. Мы являемся стратегическими партнерами Яндекса и крупнейшего фудмолла в Европе! В связи с масштабированием проекта, мы ищем в команду Python- разработчика, с которым выведем пользовательский интерфейс сервиса на новый уровень! Что нужно делать: Разрабатывать, тестировать и поддерживать надежные, масштабируемые сайты, CRM-системы и API для приложений; Писать читаемый и легко поддерживаемый код; Быть на связи с 8:00-23:59 (МСК) и оперативно оказывать необходимую техническую поддержку в решении вопросов разработки в нашем чате ТГ (очень мало запросов); Поступающие задачи команды - приоритет для вас, поэтому важна оперативность и включенность в процесс их решения; Участвовать в общих обсуждениях и планах на разработку. Требования: Уверенное знание Python и его особенностей; Понимание алгоритмов и стандартных структур данных; - Django/DRF (более 1 года желательно); - Опыт работы с REST; Умения запускать, настраивать и поддерживать PostgreSQL, Redis, Celery, RabbitMQ; Знание и опыт работы с VueJS 3, желательно. Будет большим плюсом опыт работы с LLM моделями как ChatGPT/Cursor/Claude AI Условия: Полная занятость, офис, график 5/2 Официальное трудоустройство в IT компании; Работа с уже устоявшемся продуктом на рынке. Если ваш профессионализм и компетентность будут соответствовать задачам разработки проекта, то мы будем привлекать к вам в команду новых специалистов и обсуждать ваш дальнейший карьерный рост!",110000.0,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/131581975
Python-разработчик,"Python-разработчик. Мы - крупнейшая юридическая компания в Санкт-Петербурге с более чем 300 сотрудниками. Наш основной профиль - сопровождение процедур банкротства физических лиц. Банкротство проходит в арбитражных судах, наш юридический отдел совершает огромное количество действий и процедур, в том числе и шаблонного характера. Для уменьшения доли ручного производства мы активно развиваем внутренние LegalTech-решения: команда создает и улучшает сервисы компании, нацеленные на автоматизацию бизнес-процессов. Работа в офисе. Обязанности: Разработка внутренних серверных приложений на Python для автоматизации бизнес-процессов; Организация взаимообмена данными между собственными и сторонними сервисами через API; Сопровождение инфраструктуры по автоматизации развертывания и управления приложениями; Взаимодействие с командой: разработчики, бизнес-аналитики, аналитики данных, внутренние заказчики. Требования: Знание Python, ООП и базовых паттернов проектирования; Опыт в разработке серверных приложений на Python; Опыт работы с базами данных (PostgreSQL, SQLAlchemy); Понимание принципов взаимодействия серверных приложений по API. Умение реализовать собственный сервис с нуля (например, FastAPI). Условия: Работу в стабильной и растущей юридической компании с более чем 300 сотрудниками, с гарантированно высоким доходом; Профессиональное развитие и возможность воплощать профессиональные идеи. Оплата профессиональных тренингов, курсов, семинаров; Официальное оформление, лояльное и адекватное руководство; График работы: с 10.00 до 19.00, пятидневная рабочая неделя; Работа в комфортном бизнес-центре. Удобное местоположение офиса (2 минуты пешком от метро Сенная площадь/Садовая/Спасская).",200000.0,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/131776805
Python-разработчик,"Python-разработчик. Мы — ведущая компания в сфере сертификации продукции и услуг. Работаем как на российском, так и на международном рынке. Сейчас ищем Python-разработчика, который хочет участвовать в создании IT-продуктов для автоматизации бизнес-процессов и приносить реальную пользу бизнесу. Чем предстоит заниматься: разрабатывать backend-часть внутренних и клиентских проектов по автоматизации бизнес-задач; участвовать в полном цикле разработки: от сбора и уточнения требований до выдачи результата заказчику; интегрироваться с внешними API; заниматься парсингом, обработкой и анализом данных, в том числе из API, а также из PDF и DOCX; проектировать структуру БД; работать с БД через ORM и писать SQL-запросы; готовить несложные аналитические отчёты по данным; вести отчетность по ходу разработки. Мы ожидаем: опыт работы Python-разработчиком от 1 до 3 лет; уверенное знание Python; опыт разработки backend на FastAPI; опыт работы с MS SQL; знание SQL и умение писать запросы вручную; опыт работы с SQLAlchemy; опыт использования Alembic для миграций; опыт валидации данных с помощью Pydantic; умение работать с внешними API; базовые знания Unix/Linux, уверенная работа в командной строке; опыт использования инструментов парсинга, например Selenium, Camelot; коммуникабельность, ответственность, доброжелательность; Будет плюсом: опыт работы с Docker; базовые навыки администрирования БД. Что мы предлагаем: работа в небольшой команде с быстрой коммуникацией и минимумом бюрократии; гибридный формат работы; оформление по ТК РФ; заработная плата от 100 000 ₽ по итогам собеседования; регулярные премии за участие в проектах; офис в шаговой доступности от метро Автозаводская; бесплатный кофе; оборудованные зоны для приема пищи. Почему это может быть интересно? У вас будет возможность не просто писать backend, а участвовать в разработке прикладных решений, которые напрямую влияют на эффективность бизнеса, в лояльном и дружелюбном окружении.",100000.0,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/131732609
Python-разработчик,"Python-разработчик. Мы разрабатываем технологические решения, которые помогают бизнесу зарабатывать больше за счёт данных, автоматизации и аналитики . Наши продукты используются компаниями для повышения эффективности продаж, маркетинга и работы с клиентами. Parsing Master — это сервис автоматизированного сбора и обработки данных из открытых источников. Сервис активно развивается, количество задач и клиентов растёт, поэтому мы расширяем команду разработки. Ищем Python-разработчика , которому интересны задачи автоматизации, парсинга данных и интеграции с различными сервисами. Обязанности: Разработка парсеров данных с различных источников (сайты, маркетплейсы, API); Пайплайны обработки, очистки и нормализации данных; Преобразование данных в целевые форматы; Работа с базами данных. Требования: От 1 года коммерческой разработки (не фриланс); Будет преимуществом: опыт работы в стартапах, опыт написания парсеров, опыт работы с ИИ; Умение коммуницировать и работать в команде; Аналитическое мышление; Внимательность к деталям; Способность к самостоятельному изучению практических технологий; Организованность. Условия: Формат: удалённо; График: 5/2 (пн-пт) с 09:00 до 18:00 мск; Заработная плата от 80 000 руб. (зависит от грейда, который определяется на техническом собеседовании с тимлидом); Стартовые условия обсуждаются с учетом квалификации, опыта работы. Рост заработной платы по мере роста квалификации и стажа работы в компании; Опытный наставник на старте; Работа в дружной команде профессионалов. Если вы заинтересованы в вакансии и хотите пройти следующий этап — пришлите отклик и мы направим вам небольшое тестовое задание . Оно поможет оценить качество кода, умение работать с API и базами данных, а также подход к решению задач. Тестовое задание несложное и направлено на проверку реальных навыков, с которыми вы будете работать в проекте. Ждём вашего отклика!",80000.0,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/131407808
Senior Fullstack-разработчик,"Senior Fullstack-разработчик. Кого мы ищем: Senior Full Stack Developer с опытом от 5 лет, который способен проектировать архитектуру, понимать продукт и доводить решения до стабильного продакшена. Задачи: Разработка и поддержка проекта Dentomo.ru Проектирование и развитие API Модернизация и поддержка frontend Работа с архитектурой и доменной моделью Покрытие кода тестами Участие в релизах и CI/CD Технологии: Backend: Python, FastAPI, Celery, Redis Frontend: React, Next.js, TypeScript, TailwindCSS, Shadcn UI Архитектура: Clean Architecture, DDD Тесты: Pytest, Jest DevOps: Docker, GitLab CI/CD Инфраструктура: Grafana, Sentry Требования к кандидату: Опыт коммерческой разработки 5+ лет Опыт продуктовой разработки Умение самостоятельно проектировать решения Опыт работы со сложными веб-системами Понимание асинхронных процессов и взаимодействия компонентов Ответственность за качество и стабильность кода Уровень владения английским языком не менее B2 Техническое собеседование будет проводиться на английском языке Будет плюсом: Опыт участия в архитектурных решениях Понимание эксплуатации и поддержки продакшен-систем Опыт взаимодействия с продуктовой командой Опыт работы с высоконагруженными или критичными к качеству системами Опыт менторинга или технической поддержки коллег Опыт работы с Kubernetes, Docker Compose Yandex Cloud (Compute Cloud, Object Storage, Managed Services) Условия: Полностью удалённая работа Возможность работать вне РФ Гибкий график",350000.0,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/131239069
Разработчик Python (Middle),"Разработчик Python (Middle). Мы — международная сеть пиццерий из России. Приглашаем присоединиться к нашей команде Разработчик Python (Middle). Что нужно делать: - разработка и поддержка корпоративного внутреннего портала; - интеграция и поддержка работы с API; - разработка и поддержка Telegram-ботов для автоматизации внутренних процессов; - участие в поддержке и развитии существующих решений; - регулярное обновление статуса задач в трекере и документирование результатов работы. Мы ожидаем, что Вы: - имеете опыт работы от 2 лет на позиции разработчика Python (уверенное знание asyncio); - имеете опыт работы с FastAPI, Pydantic и типизацией; - имеете опыт работы с асинхронными ORM (SQLAlchemy 2.0) и системами миграций (Alembic); - имеете опыт работы на уровне Middle; - имеете опыт взаимодействия с IT-командами и разработки корпоративных решений; - умеете работать с внешними API-интеграциями; - имеете опыт разработки и поддержки Telegram-ботов (aiogram 3); - умеете работать с системами трекинга задач (например, Jira, Trello, Bitrix24); - владеете знанием систем контроля версий (Git); - имеете опыт работы с базами данных (PostgreSQL или MySQL), плюсом будет работа с ClickHouse; - имеете опыт оптимизации SQL-запросов; - имеете опыт работы с Redis (кэширование, очереди); - имеете опыт работы с RabbitMQ (очереди сообщений); - обладаете навыками базовой работы с Docker. Приветствуется наличие примеров предыдущих работ (боты, интеграции, поддержка порталов).​​​​​​​ Условия работы: - заработная плата по результатам собеседования; - ежемесячная премия по результатам KPI; - удалённый формат работы с возможностью гибкого управления временем (основное рабочее время c 9:00 до 18:00 по МСК); - график работы 5/2.​​​​​​​ Нажмите «Откликнуться», чтобы мы связались с вами в ближайшее время и пригласили на встречу.",160000.0,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/131586765
